upc,asin,cost,marketplace,group,title,author,img,rank,status,msg,oversize,weight,new-fba-offers,used-fba-offers,collectible-fba-offers,total-fba-offers,new-offers,used-offers,collectible-offers,total-offers,amazon_price,lowFBA,low-new-FBA,low-used-FBA,low-collectible-FBA,lowMFN,low-new-MFN,low-used-MFN,low-collectible-MFN,net_payout,margin_impact,margin_percent,profit_percent
838766007762,B005SII1QO,$19.19 ,US,Health and Beauty,Vega Sport Endurance Gel Orange 12 Count,,http://ecx.images-amazon.com/images/I/41ClXMYE-5L.jpg,"41,348",accept,,no,0.62,2,0,0,2,6,0,0,6,$18.99 ,,,,,$18.99 ,$18.99 ,,,($6.46),$12.73 ,-50.75%,-33.66%
838766007762,B00H4GI244,$19.19 ,US,Health and Beauty,Vega Sport Endurance Gels Orange Box of 12 - Men's,,http://ecx.images-amazon.com/images/I/51OoY4uCDHL.jpg,"358,813",accept,,no,1.4,0,0,0,0,1,0,0,1,,,,,,$25.38 ,$25.38 ,,,($1.02),$18.17 ,-5.61%,-5.32%
838766007700,B005P0I9VM,$1.59 ,US,Health and Beauty,Vega - Vega Sport Natural Plant Based Endurance Gel Raspberry - 1.6 oz.,,http://ecx.images-amazon.com/images/I/51KHy25OXeL.jpg,"268,723",accept,,no,0,0,0,0,0,2,0,0,2,,,,,,$7.16 ,$7.16 ,,,$2.02 ,$3.61 ,55.96%,127.04%
838766107717,,$1.59 ,US,,,,,,abort,"Your search for ""838766107717"" did not match any products.",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
838766009018,B005P0K5GO,$31.99 ,US,Health and Beauty,Vega Sport Recovery Accelerator Apple Berry Tub 19oz,,http://ecx.images-amazon.com/images/I/4103qSqQEdL.jpg,"4,814",accept,,no,0,2,0,0,2,9,0,0,9,$29.99 ,$34.99 ,$34.99 ,,,$31.99 ,$31.99 ,,,($9.89),$22.10 ,-44.75%,-30.92%
838766009025,B005P0K67W,$31.99 ,US,Health and Beauty,Vega Sport Recovery Accelerator Tropical Tub 19oz,,http://ecx.images-amazon.com/images/I/41FWKS-K1XL.jpg,"5,741",accept,,no,1.4,1,0,0,1,8,0,0,8,$31.99 ,,,,,$31.99 ,$31.99 ,,,($8.19),$23.80 ,-34.41%,-25.60%
838766009117,B005QDXWD8,$23.99 ,US,Health and Beauty,Vega Sport Recovery Accelerator Apple Berry 12 Count,,http://ecx.images-amazon.com/images/I/4146cv8w2bL.jpg,"97,441",accept,,no,0,4,1,0,5,7,1,0,8,,$13.23 ,$17.95 ,$13.23 ,,$23.99 ,$23.99 ,,,($15.34),$8.65 ,-177.34%,-63.94%
838766009124,B005QDXWSI,$23.99 ,US,Health and Beauty,Vega Sport Recovery Accelerator Tropical 12 Count,,http://ecx.images-amazon.com/images/I/41YvaVUJ23L.jpg,"52,930",accept,,no,0.85,4,1,0,5,7,1,0,8,,$16.84 ,$18.00 ,$16.84 ,,$23.99 ,$23.99 ,,,($13.07),$10.92 ,-119.69%,-54.48%
838766009216,B00654O0U6,$1.99 ,US,Health and Beauty,Vega Sport Natural Plant-based Recovery Accelerator Single Packet - Apple Berry 0.96 Oz/27g Powder,,http://ecx.images-amazon.com/images/I/31ehRTiWfQL.jpg,"731,719",accept,,no,0,0,0,0,0,1,0,0,1,,,,,,$9.53 ,$9.53 ,,,$3.62 ,$5.61 ,64.53%,181.91%
838766009216,B0089MXHY2,$1.99 ,US,Health and Beauty,Vega Sport Natural Plant-based Recovery Accelerator 2 Single Packets - Apple Berry 2 X 0.96 Oz(27g) Powder,,http://ecx.images-amazon.com/images/I/41gJNoOnW8L.jpg,"839,039",accept,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
