VIN,UPC,BRAND,DESCRIPTION,PK Size,PK_UOM,ITEM STRENGTH,STRENGTH UOM,ITEM SIZE,ITEM UOM,WHLSALE,MSRP,MAP,HEIGHT,WIDTH,DEPTH,WEIGHT,Case Height,Case Width,Case Length,Case Weight,Case Pack,Case Cost,Notes
CARBTAME,790011290636,JARROW,CarbTame�,1,EA,N/A,N/A,60,VCAPS, $15.00 , $29.95 ,,3.25,1.8,1.8,0.096,4,6,8,1.35,12, $180.00 ,
CAROT,790011120186,JARROW,CarotenALL,1,EA,N/A,N/A,60,SFTGELS, $14.00 , $27.95 ,,3.645,2.09,2.09,0.35,4,7,9,4.4,12, $168.00 ,
CBEAN,790011260127,JARROW,Green Coffee Bean Extract,1,EA,400,MG,60,CAPS, $10.50 , $20.95 ,,3.75,2,2,0.13,4,7,9,1.76,12, $156.00 ,
CBIO,790011120155,JARROW,"Buffered-Vitamin C + Citrus Bioflavanoids, 1000 mg",1,EA,750,MG,100,TABS, $6.00 , $11.95 ,,4.22,2.382,2.382,0.15,5,8,10,2,12, $72.00 ,
CC120,790011150459,JARROW,Creatine ,1,EA,800,MG,120,CAPS, $6.50 , $12.95 ,,4.42,2.5,2.5,0.35,5,8,10.5,4.4,12, $78.00 ,
CC300,790011150404,JARROW,Creatine ,1,EA,800,MG,300,CAPS, $14.00 , $27.95 ,,6.1,3.2,3.2,0.3,6.5,10.5,13.5,3.8,12, $168.00 ,
CDP,790011200123,JARROW,CDP Choline,1,EA,250,MG,60,CAPS, $17.00 , $33.95 ,,3.41,2.015,2.015,0.12,4.5,6.5,9,1.64,12, $192.00 ,
CDP120,790011180142,JARROW,CDP Choline,1,EA,250,MG,120,CAPS, $29.00 , $57.95 ,,3.9,2.25,2.25,0.167,4.5,7,10,2.204,12, $336.00 ,
CELL,790011290599,JARROW,CellReset�,1,EA,N/A,N/A,60,TABS, $25.00 , $49.95 ,,4.25,2.5,2.5,0.184,5,8,10.5,2.408,12, $300.00 ,
CHLOPTI,790011290551,JARROW,Choless Optimizer,1,EA,N/A,N/A,120,TABS, $20.00 , $39.95 ,,4.5,2.5,2.5,0.4,5,8,10.5,5,12, $240.00 ,
CHOC1,790011210344,JARROW,"Whey Protein, Chocolate ",1,EA,N/A,N/A,454,GM, $13.00 , $23.95 ,,6.5,4.75,4.75,1.3,7,10,15,8,6, $78.00 ,
CHRY,790011150428,JARROW,Chrysin 500,1,EA,500,MG,30,CAPS, $15.00 , $29.95 ,,3.41,2.015,2.015,1.1,4.5,7,9,13.4,12, $180.00 ,
CKK,790011080046,JARROW,Ginkgo Biloba,1,EA,60,MG,60,CAPS, $4.50 , $8.95 ,,3.23,1.84,1.84,0.1,4,6,8,1.4,12, $54.00 ,
CLA90,790011160106,JARROW,CLA 750,1,EA,750,MG,90,SFTGELS, $10.00 , $19.95 ,,4.42,2.5,2.5,0.37,5,8,10.5,4.64,12, $120.00 ,
CMF,055358218003,OMEGA,Cold Milled Flax seeds,1,EA,N/A,N/A,425,GM, $4.90 , $8.15 ,,9,2.75,2.75,1,9.5,8,11.5,6.2,6, $29.40 ,
CMO,790011190158,JARROW,True CMO,1,EA,380,MG,60,CAPS, $13.00 , $25.95 ,,4.22,2.382,2.382,0.15,5,8,10.5,2,12, $156.00 ,
COCOJ,790011160281,JARROW,Coconut Oil 100% Organic,1,EA,N/A,N/A,454,GM, $7.00 , $11.95 ,,4.525,3.5,3.5,1.15,5,11.5,15,14,12, $84.00 ,
COCOJ32,790011160489,JARROW,Coconut Oil 100% Organic,1,EA,N/A,N/A,908,GM, $12.00 , $20.50 ,,6.75,4.25,4.25,2.19,8,13,17.5,26.28,12, $144.00 ,
COCOV,790011160335,JARROW,"Coconut Oil 100% Organic, Extra Virgin",1,EA,N/A,N/A,454,GM, $10.00 , $16.95 , $11.87 ,4.525,3.5,3.5,1.5,5,11.5,15,18.2,12, $120.00 ,
COCOV32,790011160403,JARROW,"Coconut Oil 100% Organic, Extra Virgin",1,EA,N/A,N/A,908,GM, $17.00 , $28.50 ,,6.18,5.45,5.45,2.15,8,13,17.5,26,12, $204.00 ,
COCOXVCAP,790011160472,JARROW,"Coconut Oil 100% Organic, Extra Virgin, Softgels",1,EA,1000,MG,120,SFTGELS, $8.50 , $16.95 ,,4.875,2.6,2.6,0.46,5.5,8.5,11,5.72,12, $102.00 ,
COL120,790011210108,JARROW,Colostrum Prime Life,1,EA,500,MG,120,CAPS, $13.50 , $26.95 ,,4.67,2.57,2.57,0.3,5,8,10.5,3.8,12, $162.00 ,
COLLAGEN,790011290513,JARROW,Type 2 Collagen,1,EA,500,MG,60,CAPS, $10.50 , $20.95 ,,3.645,2.09,2.09,0.15,4.5,7,9,2,12, $126.00 ,
CORD,790011140795,JARROW,Cordyceps 500mg ,1,EA,500,MG,60,TABS, $10.00 , $19.95 ,,3.23,1.84,1.84,0.1,4.5,6.5,9,1.4,12, $120.00 ,
COX,790011290087,JARROW,Cox 2 Tame,1,EA,N/A,N/A,90,SFTGELS, $14.00 , $27.95 ,,4.67,2.57,2.57,0.75,5.5,8,10.5,9.2,12, $150.00 ,
CR,790011130055,JARROW,Chromium GTF,1,EA,200,MCG,100,CAPS, $3.50 , $6.50 ,,3.23,1.84,1.84,0.1,3.5,5.5,7.5,1.4,12, $42.00 ,
CR325,790011150084,JARROW,Creatine Monohydrate,1,EA,6,GM/SCOOP,325,GM, $7.00 , $13.95 ,,5.22,3.07,3.07,0.85,6,10,13,10.4,12, $84.00 ,
CR600,790011150275,JARROW,Creatine Monohydrate,1,EA,6,GM/SCOOP,600,GM, $12.00 , $23.95 ,,5.75,3.5,3.5,1.5,7,11.5,15,18.2,12, $144.00 ,
CRAN,790011140276,JARROW,Cran Clearance,1,EA,680,MG,100,CAPS, $9.50 , $18.95 ,,4.22,2.382,2.382,0.26,5,7.5,10.5,3.32,12, $114.00 ,
CRKILO,790011150152,JARROW,Creatine Monohydrate,1,EA,6,GM/SCOOP,1000,GM, $17.00 , $33.95 ,,7.039,4.75,4.75,2.45,7.5,12.5,16.5,14.9,6, $102.00 ,
CSURG,790011150213,JARROW,"Creatine Surge, tropical fruit",1,EA,N/A,N/A,922,GM, $16.00 , $31.95 ,,7.039,4.75,4.75,2.15,7.5,12.5,16.5,13.1,6, $96.00 ,
CUR,790011140047,JARROW,Curcumin 95,1,EA,500,MG,60,CAPS, $13.00 , $25.95 , $18.17 ,3.815,2.21,2.21,0.15,4.5,7,9.5,2,12, $156.00 ,
CUR120,790011140764,JARROW,Curcumin 95,1,EA,500,MG,120,CAPS, $22.00 , $43.95 , $30.77 ,4.42,2.5,2.5,0.25,5.5,8,11,3.2,12, $264.00 ,
CURPH,790011140863,JARROW,Curcumin Phytosome,1,EA,500,MG,60,CAPS, $13.50 , $26.95 ,,3.875,2.063,2.063,0.164,4.5,7,9.5,2.168,12, $162.00 ,
D1000,790011300038,JARROW,Vitamin D3,1,EA,1000,IU,100,SFTGELS, $4.50 , $8.95 ,,4.42,2.5,2.5,0.2,4.5,7,9.5,2.6,12, $54.00 ,
D2500,790011290421,JARROW,Vitamin D3,1,EA,2500,IU,100,SFTGELS, $6.00 , $11.95 ,,4.42,2.5,2.5,0.1,4.5,7,9.5,1.4,12, $72.00 ,
D400,790011300021,JARROW,Vitamin D3,1,EA,400,IU,100,SFTGELS, $3.50 , $6.95 ,,4.42,2.5,2.5,0.13,4.5,7,9.5,1.76,12, $42.00 ,
D5000,790011300052,JARROW,Vitamin D3,1,EA,5000,IU,100,SFTGELS, $6.50 , $12.95 ,,3.815,2.21,2.21,0.12,4.5,7,9.5,1.64,12, $78.00 ,
DH10,790011150558,JARROW,DHEA ,1,EA,10,MG,90,CAPS, $5.00 , $9.95 ,,3.645,2.09,2.09,0.5,4.5,6.5,9,6.2,12, $60.00 ,
DH25,790011150169,JARROW,DHEA ,1,EA,25,MG,90,CAPS, $5.50 , $10.95 ,,3.79,2.21,2.21,0.1,4.5,7,10,1.4,12, $66.00 ,
DH50,790011150176,JARROW,DHEA,1,EA,50,MG,90,CAPS, $6.00 , $11.95 ,,3.79,2.21,2.21,0.11,4.5,7,10,1.52,12, $72.00 ,
DHA,790011160076,JARROW,Max DHA,1,EA,607,MG,90,SFTGELS, $11.00 , $21.95 ,,4.22,2.382,2.382,0.25,5,7.5,10.5,3.2,12, $126.00 ,
DHA180,790011160182,JARROW,Max DHA,1,EA,607,MG,180,SFTGELS, $18.00 , $35.95 ,,4.875,2.6,2.6,0.45,5.5,8,11.5,5.6,12, $192.00 ,
DIM,790011290650,JARROW,DIM + CDG,1,EA,N/A,N/A,30,CAPS, $15.00 , $29.95 ,,3.25,1.75,1.75,0.08,3.5,5.5,7.5,1.16,12, $180.00 ,
E,790011120087,JARROW,Dry E-400,1,EA,400,IU,100,CAPS, $11.00 , $21.95 ,,3.815,2.21,2.21,0.15,4.5,7,10,2,12, $132.00 ,
EBLQ,055358114404,OMEGA,Essential Balance�,1,EA,N/A,N/A,12,FL OZ, $9.15 , $15.25 ,,8.63,2.37,2.37,0.9,9,7.5,10,11,12, $109.80 ,
EFAM,790011120285,JARROW,Famil E,1,EA,N/A,N/A,60,SFTGELS, $15.00 , $29.95 ,,3.815,2.21,2.21,0.22,4.5,7,9,2.84,12, $174.00 ,
EPADHA120,790011160366,JARROW,EPA-DHA Balance ,1,EA,630,MG,120,SFTGELS, $12.00 , $23.95 ,,5.16,2.825,2.825,0.52,6,9,12,6.44,12, $144.00 ,
EPADHA240,790011160397,JARROW,EPA-DHA Balance ,1,EA,630,MG,240,SFTGELS, $21.00 , $41.95 ,,6.55,3.5,3.5,0.95,7.5,11,14.5,11.6,12, $252.00 ,
EPADHA60,790011160359,JARROW,EPA-DHA Balance ,1,EA,630,MG,60,SFTGELS, $7.00 , $13.95 ,,4.22,2.382,2.382,0.25,5,8,10.5,3.2,12, $84.00 ,
EQ,790011030065,JARROW,Equine-Dophilus,1,EA,25 BILLION ORGANISMS,PER GM,500,GM, $55.00 , $82.95 ,,5.75,3.5,3.5,1.26,7.5,10,14.5,12.8,10, $550.00 ,
FEM,790011030058,JARROW,Fem-Dophilus,1,EA,5 BILLION ORGANISMS,PER CAP,30,CAPS, $13.50 , $26.95 ,,4.375,2.156,2.156,0.2,5,8,10.5,2.6,12, $156.00 ,
FEM60,790011030300,JARROW,Fem-Dophilus,1,EA,5 BILLION ORGANISMS,PER CAP,60,CAPS, $21.00 , $41.95 ,,4.375,2.156,2.156,0.25,5,8,10.5,3.2,12, $240.00 ,
FIPER,790011010210,JARROW,Fiber Perfect,1,EA,N/A,N/A,150,CAPS, $7.50 , $14.95 ,,5.16,2.825,2.825,0.3,6,9,12,3.8,12, $90.00 ,
FMSOY,790011210184,JARROW,Fermented Soy Essence,1,EA,N/A,N/A,400,GM, $12.50 , $24.95 ,,6.63,4.75,4.75,1.1,7.5,10,15,6.8,6, $75.00 ,
FOLIC,790011120193,JARROW,Folic Acid,1,EA,800,MCG,100,CAPS, $3.00 , $5.95 ,,3.23,1.84,1.84,0.1,3.5,5.5,7.5,1.4,12, $33.00 ,
FOSPD,790011030256,JARROW,Inulin FOS,1,EA,N/A,N/A,180,GM, $6.00 , $11.95 ,,4.875,2.6,2.6,0.5,5.5,8.5,11.5,6.2,12, $66.00 ,
G1,790011100010,JARROW,Germanium Ge-132,1,EA,100,MG,30,CAPS, $13.50 , $26.95 ,,3.815,2.21,2.21,0.05,3.5,5.5,7.5,0.8,12, $162.00 ,
G150,790011100058,JARROW,Germanium Ge-132,1,EA,150,MG,30,CAPS, $17.75 , $35.50 ,,2.96,1.72,1.72,0.05,3.5,5.5,7.5,0.8,12, $213.00 ,
GABA,790011290445,JARROW,Gaba Soothe,1,EA,,,30,VCAPS, $12.00 , $23.95 ,,3.645,2.09,2.09,0.1,4.5,6.5,9.5,1.4,12, $144.00 ,
GAMMA,790011120278,JARROW,Gamma E 300,1,EA,N/A,N/A,120,SFTGELS, $18.00 , $34.95 ,,4.22,2.382,2.382,0.3,5,8,10.5,3.8,12, $192.00 ,
GCM120,790011190233,JARROW,Glucosamine+Chondroitin+MSM,1,EA,N/A,N/A,120,CAPS, $13.00 , $25.95 ,,4.42,2.5,2.5,0.35,5,8,10.5,4.4,12, $156.00 ,
GCM240,790011190226,JARROW,Glucosamine+Chondroitin+MSM,1,EA,N/A,N/A,240,CAPS, $23.00 , $45.95 ,,5.22,3.07,3.07,0.7,6,10,13,8.6,12, $270.00 ,
GDEF,790011170105,JARROW,Green Defense,1,EA,6,GM/SCOOP,180,GM, $13.50 , $26.95 ,,4.5,3.5,3.5,0.55,5,11,15,6.8,12, $162.00 ,
GE60,790011100041,JARROW,Germanium GE-132,1,EA,100,MG,60,CAPS, $25.00 , $49.95 ,,2.96,1.72,1.72,0.06,3.5,5.5,7.5,0.92,12, $300.00 ,
GEN,790011010074,JARROW,Gentle Fibers,1,EA,N/A,N/A,468,GM, $8.00 , $14.95 ,,6.5,3.5,3.5,1.2,7,11.5,15,14.6,12, $96.00 ,
GG,790011140122,JARROW,Garlic & Ginger,1,EA,700,MG,100,CAPS, $7.50 , $14.95 ,,4.22,2.382,2.382,0.26,5,8,10.5,3.32,12, $90.00 ,
GING,790011140269,JARROW,Ginger 4:1 Concentrate,1,EA,500,MG,100,CAPS, $5.50 , $10.95 ,,4.22,2.382,2.382,0.22,5,8,10.5,2.84,12, $66.00 ,
GL,790011190035,JARROW,Glucosamine HCl Mega 1000,1,EA,1000,MG,100,TABS, $9.50 , $18.95 ,,4.22,2.382,2.382,0.4,5,7.5,10.5,5,12, $114.00 ,
GLA240,790011090083,JARROW,Borage GLA-240+Gamma Tocopherol,1,EA,240,MG,60,SFTGELS, $8.25 , $16.50 ,,3.815,2.21,2.21,0.25,4.5,7,9.5,3.2,12, $99.00 ,
GLRED,790011150398,JARROW,Reduced Glutathione,1,EA,500,MG,60,CAPS, $20.50 , $40.95 ,,3.815,2.21,2.21,0.16,4.5,7,9.5,2.12,12, $246.00 ,
GLRED120,790011150664,JARROW,Reduced Glutathione,1,EA,500,MG,120,CAPS, $35.00 , $69.95 ,,4.5,2.5,2.5,0.26,5,8,11,3.32,12, $420.00 ,
GLUCAN,790011030232,JARROW,Beta Glucan ,1,EA,250,MG,60,CAPS, $20.00 , $39.95 ,,3.645,2.09,2.09,0.14,4.5,6.5,9,1.88,12, $240.00 ,
GM4Z,790011150091,JARROW,L-Glutamine,1,EA,2,GM/SCOOP,113,GM, $7.00 , $13.95 ,,4.22,2.382,2.382,0.32,5,8,10.5,4.04,12, $84.00 ,
GM500,790011150466,JARROW,L-Glutamine ,1,EA,2,GM/SCOOP,500,GM, $20.00 , $39.95 ,,5,4.75,4.75,1.35,6.5,10,14,8.3,6, $120.00 ,
GM8Z,790011150077,JARROW,L-Glutamine ,1,EA,2,GM/SCOOP,227,GM, $12.00 , $23.95 ,,5.16,2.825,2.825,0.6,5.5,10,12.5,7.4,12, $144.00 ,
GMCAP,790011150121,JARROW,L-Glutamine,1,EA,750,MG,120,CAPS, $9.00 , $17.95 ,,4.42,2.5,2.5,0.3,5,8,10.5,3.8,12, $96.00 ,
GMKILO,790011150350,JARROW,L-Glutamine ,1,EA,2,GM/SCOOP,1000,GM, $32.00 , $63.95 ,,7.606,5.591,5.591,2.55,10.5,11.5,17,15.5,6, $192.00 ,
GMTAB,790011150336,JARROW,L-Glutamine ,1,EA,1000,MG,100,TABS, $9.00 , $17.95 ,,4.42,2.5,2.5,0.42,5,8,10.5,5.24,12, $96.00 ,
GOAT,790011210337,JARROW,Goat Milk Protein,1,EA,N/A,N/A,454,GM, $25.00 , $44.95 ,,6.5,3.5,3.5,1.25,7,11.5,7.5,15.2,6, $150.00 ,
GOPT,790011290025,JARROW,Glucose Optimizer,1,EA,N/A,N/A,120,TABS, $16.00 , $31.95 ,,4.67,2.57,2.57,0.65,5,8,10.5,8,12, $192.00 ,
GPLC,790011020127,JARROW,GPLC Glycocarn,1,EA,500,MG,60,CAPS, $20.00 , $39.95 ,,3.815,2.21,2.21,0.18,4.5,7,9.5,2.36,12, $240.00 ,
GS1000,790011190127,JARROW,Glucosamine Sulfate,1,EA,1000,MG,100,TABS, $9.50 , $18.95 ,,4.42,2.5,2.5,0.48,5,8,10.5,5.96,12, $114.00 ,
GSC,790011190196,JARROW,Glucosamine + Chondroitin,1,EA,N/A,N/A,120,CAPS, $12.00 , $23.95 ,,4.42,2.5,2.5,0.35,5,8,11,4.4,12, $132.00 ,
GSC240,790011190219,JARROW,Glucosamine + Chondroitin,1,EA,N/A,N/A,240,CAPS, $22.00 , $43.95 ,,5.22,3.07,3.07,0.7,6,10,13,8.6,12, $258.00 ,
GTC,790011170075,JARROW,Green Tea,1,EA,500,MG,100,CAPS, $6.50 , $12.95 ,,4.22,2.382,2.382,0.2,5,8,10.5,2.6,12, $78.00 ,
GTCDF,790011170235,JARROW,Green Tea Decaffinated,1,EA,500,MG,100,CAPS, $7.50 , $14.95 ,,4.22,2.382,2.382,0.2,5,8,10.5,2.6,12, $90.00 ,
GTCOR,790011170242,JARROW,Green Tea Organic,1,EA,500,MG,100,TABS, $10.00 , $19.95 ,,3.85,2.15,2.15,0.18,4.5,7,9.5,2.36,12, $120.00 ,
HAW,790011140337,JARROW,Hawthorn,1,EA,500,MG,100,CAPS, $7.00 , $13.95 ,,4.22,2.382,2.382,0.26,5,8,10.5,3.32,12, $81.00 ,
HEMP16,790011160441,JARROW,Organic Hemp Protein,1,EA,N/A,N/A,454,GM, $10.75 , $18.25 ,,7.12,3.62,3.62,1.2,11,15.5,15.5,29,24, $258.00 ,
HIX,055358167004,OMEGA,Hi Lignan Flax Oil,1,EA,N/A,N/A,16,FL OZ, $9.80 , $16.30 ,,8.75,2.87,2.87,1.15,9.5,9,12,14,12, $117.60 ,
HTP100,790011150435,JARROW,5 HTP,1,EA,100,MG,60,CAPS, $14.00 , $27.95 ,,3.41,2.015,2.015,0.15,4.5,6.5,9,2,12, $168.00 ,
HTP50,790011150442,JARROW,5 HTP,1,EA,50,MG,90,CAPS, $10.50 , $20.95 ,,3.41,2.015,2.015,0.15,4,7,9,2,12, $126.00 ,
HYAL,790011290186,JARROW,Hyaluronic Acid ,1,EA,50,MG,60,CAPS, $10.00 , $19.95 ,,3.645,2.09,2.09,0.15,4.5,6.5,9,2,12, $120.00 ,
HYAL120,790011290247,JARROW,Hyaluronic Acid ,1,EA,50,MG,120,CAPS, $18.00 , $35.95 ,,4.42,2.5,2.5,0.3,5,8,10.5,3.8,12, $216.00 ,
IBS,790011030287,JARROW,Ideal Bowel Support,1,EA,10 BILLION ORGANISMS,PER CAP,30,VCAPS, $13.50 , $26.95 ,,5.18,3.13,1.75,0.09,5,8,10.5,1.28,12, $162.00 ,
IMMUNE,790011290575,JARROW,ResistImmune�,1,EA,N/A,N/A,60,TABS, $15.00 , $29.95 ,,3.8,2.2,2.2,0.15,4.5,7,9.5,2,12, $204.00 ,
INCAP,790011010241,JARROW,Inositol,1,EA,750,MG,100,CAPS, $8.50 , $16.95 ,,4.22,2.382,2.382,0.28,5.5,8,10.5,3.56,12, $102.00 ,
INFLA,790011290612,JARROW,InflaTame�,1,EA,N/A,N/A,60,SFTGELS, $16.50 , $32.95 ,,4.25,2.38,2.38,0.26,5.5,8,10.5,3.32,12, $198.00 ,
INOS,790011010166,JARROW,"Inositol, Powder",1,EA,600,MG/.25TSP,227,GM, $14.00 , $27.95 ,,5.22,3.07,3.07,0.65,7,11.5,15,8,12, $162.00 ,
IP6,790011200116,JARROW,IP6 Inositol Hexophosphate,1,EA,500,MG,120,CAPS, $8.50 , $16.95 ,,4.42,2.5,2.5,0.3,5,8,11,3.8,12, $102.00 ,
IRON,790011130130,JARROW,IronSorb,1,EA,18,MG,60,CAPS, $5.50 , $10.95 ,,3.23,1.84,1.84,0.35,4,6.5,8.5,4.4,12, $66.00 ,
JD,790011030010,JARROW,Jarro-Dophilus+FOS,1,EA,3.4 BILLION ORGANISMS,PER CAP,100,CAPS, $10.00 , $19.95 , $13.97 ,3.645,2.09,2.09,0.14,5,7,9,1.88,12, $108.00 ,
JD300,790011030324,JARROW,Jarro-Dophilus+FOS - Value Size,1,EA,3.4 BILLION ORGANISMS,PER CAP,300,CAPS, $21.00 , $41.95 ,,5,2.5,2.5,0.42,5.5,8.5,11,5.24,12, $240.00 ,
JDAF,790011030331,JARROW,Allergen-Free Jarro-Dophilus�,1,EA,10 BILLION ORGANISMS,PER CAP,60,CAPS, $10.00 , $19.95 ,,3.645,2.09,2.09,0.14,5,7,9,1.88,12, $120.00 ,
JDGUMBX,790011030355,JARROW,Jarro-Dophilus Oral Probiotic Gum,1,EA,100 Million Organisms,Per Gum Piece,8,PIECES, $36.00 , $4.95 ,,0.37,2,4.25,0.04,1.75,5.25,6.25,0.5,1, $36.00 ,"Wholesale by the Case, Retail by the Each"
JDLZBX,790011030348,JARROW,Jarro-Dophilus Oral Probiotic Lozenge,1,EA,200 Million Organisms,Per Lozenge Piece,8,PIECES, $36.00 , $4.95 ,,0.37,2,4.25,0.04,1.75,5.25,6.25,0.5,1, $36.00 ,"Wholesale by the Case, Retail by the Each"
JDOR,790011030119,JARROW,Jarro-Dophilus Non-FOS,1,EA,3.4 BILLION ORGANISMS,PER CAP,100,CAPS, $9.00 , $17.95 ,,3.645,2.09,2.09,0.14,5,7,9,1.88,12, $96.00 ,
JDSENIOR,790011030393,JARROW,Senior Jarro-Dophilus,1,EA,20 BILLION VIABLE CELLS,PER CAP,60,CAPS, $15.00 , $29.95 ,,3.6875,1.8125,1.8125,0.15,5,7,9,2,12, $180.00 ,
JEP15,790011030225,JARROW,Jarro-Dophilus EPS,1,EA,4.4 BILLION ORGANISMS,PER CAP,15,CAPS, $4.50 , $8.95 ,,3.94,4.125,0.5,0.05,4,6,8,1.2,20, $90.00 ,
JEPS,790011030201,JARROW,Jarro-Dophilus EPS,1,EA,5 BILLION ORGANISMS,PER CAP,60,CAPS, $13.00 , $22.95 , $16.07 ,5,3.125,1.75,0.17,6,7.5,10,2.24,12, $150.00 ,
JEPS120,790011030249,JARROW,Jarro-Dophilus EPS ,1,EA,5 BILLION ORGANISMS,PER CAP,120,CAPS, $21.50 , $39.95 , $27.97 ,5,3.125,3,0.34,6,9.5,13,4.28,12, $252.00 ,
JOINT,790011190073,JARROW,Joint Builder,1,EA,N/A,N/A,120,TABS, $13.00 , $25.95 ,,4.42,2.5,2.5,0.5,5,8,11,6.2,12, $156.00 ,
JSIL,790011130154,JARROW,"JarroSil, Activated Silicon",1,EA,4,MG/10 DROPS,1,FL OZ, $8.00 , $15.95 ,,3.5,2.25,1.75,0.14,5,11.5,14.5,5.24,36, $288.00 ,
JSIL60,790011130178,JARROW,"JarroSil, Activated Silicon",1,EA,4,MG/10 DROPS,2,FL OZ, $12.50 , $24.95 ,,4.25,2.25,1.75,0.14,5,11.5,14.5,5.24,36, $450.00 ,
K120K,790011080077,JARROW,Ginkgo Biloba,1,EA,120,MG,60,CAPS, $13.25 , $26.50 ,,3.23,1.84,1.84,0.25,4,6,8,1.7,6, $79.50 ,
KETO,790011150619,JARROW,7-Keto DHEA,1,EA,100,MG,30,CAPS, $11.00 , $21.95 , $15.37 ,3.25,1.87,1.87,0.085,4,6,8,1.22,12, $132.00 ,
KETO90,790011150657,JARROQ,7-Keto DHEA,1,EA,100,MG,90,CAPS, $29.50 , $58.95 ,,3.375,2.1,2.1,0.09,4,6,8,1.28,12, $354.00 ,
KIDS,790011010289,JARROW,"Kids Multi, Chewable",1,EA,N/A,N/A,120,TABS, $9.00 , $17.95 ,,4.875,2.6,2.6,0.4,5.5,8.5,11,5,12, $108.00 ,
KO30,790011160298,JARROW,Krill Oil,1,EA,N/A,N/A,30,SFTGELS, $9.00 , $17.95 ,,3.23,1.84,1.84,0.1,4,6,8,1.4,12, $108.00 ,
KO60,790011160274,JARROW,Krill Oil,1,EA,N/A,N/A,60,SFTGELS, $17.00 , $33.95 ,,3.645,2.09,2.09,0.15,4.5,6.5,9,2,12, $204.00 ,
LACFE,790011210115,JARROW,Lactoferrin,1,EA,250,MG,60,CAPS, $18.00 , $35.95 ,,3.815,2.21,2.21,0.15,4.5,7,9.5,2,12, $174.00 ,
LARIX,790011140603,JARROW,Larix 1000,1,EA,1000,MG,60,TABS, $11.50 , $22.95 ,,3.815,2.21,2.21,0.22,4.5,7,9.5,2.84,12, $138.00 ,
LC180,790011020080,JARROW,L-Carnitine ,1,EA,500,MG,180,CAPS, $32.00 , $58.95 ,,5.16,2.825,2.825,0.46,6,9,12,5.72,12, $384.00 ,
LCALL,790011020110,JARROW,CarnitAll 600 ,1,EA,N/A,N/A,90,CAPS, $14.50 , $28.95 ,,4.22,2.382,2.382,0.2,5,8,10.5,2.6,12, $174.00 ,
LCAR,790011150527,JARROW,L-Carnosine,1,EA,500,MG,90,CAPS, $26.50 , $52.95 ,,4.22,2.382,2.382,0.2,5,8,10.5,2.6,12, $318.00 ,
LCSG,790011020141,JARROW,L-Carnitine Liquid Cap,1,EA,500,MG,100,SFTGELS, $16.50 , $32.95 ,,4.22,2.382,2.382,0.15,5.5,8,10.5,2,12, $198.00 ,
LFI,055358216009,OMEGA,Nutri-Flax Fiber,1,EA,N/A,N/A,454,GM, $6.90 , $11.50 ,,8.67,2.87,2.87,1.22,8.5,7.5,11,7.52,6, $41.40 ,
LIMON,790011010340,JARROW,D-Limonene,1,EA,1000,MG,60,SFTGELS, $6.50 , $12.95 ,,3.815,2.21,2.21,0.25,4.5,7,9.5,3.2,12, $78.00 ,
LIVER,790011290124,JARROW,Liver PF,1,EA,N/A,N/A,90,TABS, $15.00 , $29.95 ,,3.815,2.21,2.21,0.3,4.5,7.5,9.5,3.8,12, $180.00 ,
LLC,790011020066,JARROW,Liquid L-Carnitine,1,EA,N/A,N/A,16,FL OZ, $11.00 , $21.95 ,,8.5,2.5,2.5,1.4,9,8,10.5,17,12, $132.00 ,
LLXX,790011110033,JARROW,Fresh Pressed Flaxseed Oil,1,EA,N/A,N/A,12,FL OZ, $7.90 , $13.15 ,,8.63,2.37,2.37,0.85,9,7.5,10,10.4,12, $94.80 ,
LOHAN,790011140672,JARROW,Lo Han Sweet,1,EA,N/A,N/A,80,GM, $5.50 , $9.95 ,,4.22,2.382,2.382,0.26,5,8.5,11,3.32,12, $66.00 ,
LTS,790011150015,JARROW,L-Tyrosine,1,EA,500,MG,100,CAPS, $6.75 , $13.50 ,,4.22,2.382,2.382,0.22,5.5,8,10.5,2.84,12, $81.00 ,
LU30,790011120247,JARROW,Lutein,1,EA,20,MG,30,SFTGELS, $5.00 , $9.95 ,,3.23,1.84,1.84,0.1,4,6,8,1.4,12, $60.00 ,
LU60,790011120254,JARROW,Lutein,1,EA,20,MG,60,SFTGELS, $9.00 , $17.95 , $12.57 ,3.645,2.09,2.09,0.15,4.5,7,9,2,12, $108.00 ,
LUBLK,790011120292,JARROW,Blackcurrant + Lutein,1,EA,N/A,N/A,60,VCAPS, $15.00 , $29.95 ,,4.22,2.382,2.382,1.5,4.5,7,9,18.2,12, $180.00 ,
LX32,790011110057,JARROW,Fresh Pressed Flaxseed Oil,1,EA,N/A,N/A,32,FL OZ, $18.20 , $30.25 ,,8.75,3.5,3.5,2.15,9,7,10.5,13.1,6, $109.20 ,
LXX,790011110026,JARROW,Fresh Pressed Flaxseed Oil,1,EA,N/A,N/A,8,FL OZ, $5.65 , $9.45 ,,7.12,2,2,0.55,8,6,10,8.45,15, $84.75 ,
LY,790011150046,JARROW,L-Lysine,1,EA,500,MG,100,CAPS, $5.00 , $9.95 ,,4.22,2.382,2.382,0.25,5,8,11,3.2,12, $60.00 ,
