VIN,UPC,BRAND,DESCRIPTION,PK Size,PK_UOM,ITEM STRENGTH,STRENGTH UOM,ITEM SIZE,ITEM UOM,WHLSALE,MSRP,MAP,HEIGHT,WIDTH,DEPTH,WEIGHT,Case Height,Case Width,Case Length,Case Weight,Case Pack,Case Cost,Notes
THE200,790011150572,JARROW,Theanine,1,EA,200,MG,60,CAPS, $13.00 , $25.95 ,,3.645,2.09,2.09,0.1,4.5,6.5,9,1.4,12, $156.00 ,
TM500,790011200079,JARROW,TMG-500,1,EA,500,MG,120,TABS, $7.50 , $14.95 ,,4.22,2.382,2.382,0.4,5,8,10.5,5,12, $90.00 ,
TMGPD,790011200055,JARROW,"TMG Crystals, Powder",1,EA,N/A,N/A,50,GM, $5.00 , $9.95 ,,3.23,1.84,1.84,0.35,4,6.5,8,4.4,12, $60.00 ,
TOCO,790011120261,JARROW,Toco Sorb,1,EA,N/A,N/A,60,SFTGELS, $13.00 , $25.95 ,,3.41,2.015,2.015,0.35,4,7,9,4.4,12, $156.00 ,
TRIB,790011220121,JARROW,Tribilus Complex,1,EA,N/A,N/A,50,TABS, $12.00 , $19.95 ,,3.815,2.21,2.21,0.25,4.5,7,9.5,3.2,12, $144.00 ,
TRYP,790011150565,JARROW,L-Tryptophan,1,EA,500,MG,60,CAPS, $11.00 , $21.95 ,,3.815,2.21,2.21,0.15,4.5,7,9.5,2,12, $132.00 ,
ULT240,790011040057,JARROW,Ultra Bone-Up ,1,EA,N/A,N/A,240,TABS, $23.00 , $45.95 ,,5.22,3.07,3.07,1.05,6,10,13,12.8,12, $276.00 ,
ULTJD,790011030263,JARROW,Ultra Jarro-Dophilus,1,EA,50 BILLION ORGANISMS,PER CAP,60,CAPS, $21.00 , $41.95 ,,3.645,2.09,2.09,0.14,5,7,9,1.88,12, $240.00 ,
ULTJNT,790011290506,JARROW,Ultra Joint Builder,1,EA,N/A,N/A,90,TABS, $14.00 , $27.95 ,,4.22,2.382,2.382,0.38,5,8,10.5,4.76,12, $168.00 ,
ULTLU,790011120308,JARROW,Lutein Sorb,1,EA,N/A,N/A,60,CAPS, $12.50 , $24.95 ,,3.645,2.09,2.09,0.12,4.5,7,9,1.64,12, $150.00 ,
ULTRA,790011040040,JARROW,Ultra Bone-Up,1,EA,N/A,N/A,120,TABS, $16.00 , $31.95 ,,4.42,2.5,2.5,0.55,5,8,11,6.8,12, $192.00 ,
URI,790011560036,JARROW,Uridine,1,EA,250,MG,60,CAPS, $22.00 , $39.95 ,,3.75,2,2,0.13,5,7,9,1.76,12, $264.00 ,
VAN1,790011210313,JARROW,"Whey Protein, Vanilla ",1,EA,N/A,N/A,454,GM, $13.00 , $23.95 ,,6.5,4.75,4.75,1.25,7,10,15,7.7,6, $78.00 ,
VAN1ORG,790011218180,JARROW,"Organic Whey Protein, Vanilla",1,EA,N/A,N/A,454,GM, $21.00 , $36.95 ,,6.5,4.75,4.75,1.25,7,10,15,15,12, $252.00 ,
VBU,790011040026,JARROW,Bone-Up (Vegetarian),1,EA,N/A,N/A,120,TABS, $9.50 , $18.95 ,,4.42,2.5,2.5,0.45,5,8,11,5.6,12, $114.00 ,
VEGZZ,790011230120,JARROW,Vegetarian Jarro-Zymes,1,EA,N/A,N/A,60,CAPS, $7.00 , $13.95 ,,3.815,2.21,2.21,0.1,4.5,7,9.5,1.4,12, $84.00 ,
VEIN,790011290261,JARROW,VenousPF,1,EA,N/A,N/A,90,TABS, $15.00 , $29.95 ,,4.22,2.382,2.382,0.3,5,8,10.5,3.8,12, $180.00 ,
VINP,790011140641,JARROW,Vinpocetine,1,EA,5,MG,100,CAPS, $7.50 , $14.95 ,,3.645,2.09,2.09,0.15,5,8,10,2,12, $90.00 ,
VIS,790011290032,JARROW,Vision Optimizer,1,EA,N/A,N/A,90,CAPS, $16.50 , $32.95 ,,4.67,2.57,2.57,0.6,5,8,10.5,7.4,12, $192.00 ,
VIS180,790011290520,JARROW,Vision Optimizer,1,EA,N/A,N/A,180,CAPS, $28.50 , $56.95 ,,5.16,2.825,2.825,0.47,6,9,12,5.84,12, $330.00 ,
WBER,790011218197,JARROW,"Whey Protein, Berry",1,EA,N/A,N/A,908,GM, $23.00 , $34.95 ,,9.5,5.5,5.5,2.4,10.5,11.5,17,14.6,6, $138.00 ,
WCHOC,790011210085,JARROW,"Whey Protein, Chocolate",1,EA,N/A,N/A,908,GM, $23.00 , $34.95 ,,9.5,5.5,5.5,2.4,10.5,11.5,17,14.6,6, $138.00 ,
WCHOCBX,790011218128,JARROW,"Whey Protein, Chocolate - 12 Packets",1,EA,N/A,N/A,12,Packets, $15.50 , $26.95 ,,6,4,5.875,0.92,6.5,12,12,6.2,6, $93.00 ,
WELL,790011290117,JARROW,Wellness Optimizer,1,EA,N/A,N/A,90,TABS, $10.00 , $19.95 ,,4.22,2.382,2.382,0.25,5,7.5,10.5,3.2,12, $120.00 ,
WHEYBX,790011210405,JARROW,"Whey Protein, 3 Flavor Variety Pack - 12 Packets",1,EA,N/A,N/A,12,Packets, $15.50 , $26.95 ,,6,4,5.875,0.85,6.5,12,12,6.1,6, $93.00 ,
WMV,790011010265,JARROW,Women's Multi 1-3,1,EA,N/A,N/A,60,TABS, $9.50 , $17.50 ,,4.42,2.5,2.5,0.25,5.5,8,10,3.2,12, $114.00 ,
WNAT,790011210146,JARROW,"Whey Protein, All Natural",1,EA,N/A,N/A,908,GM, $23.00 , $34.95 ,,9.5,5.5,5.5,2.4,10.5,11.5,17,14.6,6, $138.00 ,
WNATBX,790011210399,JARROW,"Whey Protein, Unflavored - 12 Packets",1,EA,N/A,N/A,12,Packets, $15.50 , $26.95 ,,6,4,5.875,0.82,8,13,17.5,5.12,6, $93.00 ,
WVAN,790011210030,JARROW,"Whey Protein, Vanilla",1,EA,N/A,N/A,908,GM, $23.00 , $34.95 ,,9.5,5.5,5.5,2.36,10.5,11.5,17,14.36,6, $138.00 ,
WVANBX,790011218104,JARROW,"Whey Protein, Vanilla - 12 Packets",1,EA,N/A,N/A,12,Packets, $15.50 , $26.95 ,,6,4,5.875,0.92,8,13,17.5,5.72,6, $93.00 ,
XX,790011110040,JARROW,Flaxseed Oil,1,EA,1000,MG,100,SFTGELS, $5.25 , $9.50 ,,4.42,2.5,2.5,0.4,5,8,10.5,5,12, $63.00 ,
XYLI,790011800019,JARROW,Xyli Pure Xylitol,1,EA,N/A,N/A,227,GM, $6.00 , $9.95 ,,3.72,3.626,3.626,0.65,5,11,15,8,12, $72.00 ,
XYLI16,790011800026,JARROW,Xyli Pure Xylitol,1,EA,N/A,N/A,454,GM, $9.00 , $14.95 ,,5.525,3.5,3.5,1.16,7,11.5,15,14.12,12, $108.00 ,
YC150,790011170037,JARROW,Yaeyama Chlorella,1,EA,400,MG,150,CAPS, $8.50 , $16.95 ,,4.22,2.382,2.382,0.25,5,8,10.5,3.2,12, $102.00 ,
YC300,790011170044,JARROW,Yaeyama Chlorella,1,EA,200,MG,300,TABS, $10.00 , $19.95 ,,4.42,2.5,2.5,0.5,5,8,10.5,6.2,12, $120.00 ,
YCKILO,790011170051,JARROW,Yaeyama Chlorella,1,EA,N/A,N/A,1000,GM, $50.00 , $89.95 ,,7.039,4.75,4.75,2.5,8,12.5,17,15.2,6, $300.00 ,
YCPD,790011170020,JARROW,Yaeyama Chlorella,1,EA,N/A,N/A,100,GM, $8.00 , $15.95 ,,4.22,2.5,2.5,0.3,5,7.5,10.5,3.8,12, $96.00 ,
YUMDOIL,790011320036,JARROW,Yum-Yum D3 Liquid,1,EA,200,IU/drop,0.9,FL OZ, $6.50 , $12.95 ,,3.5,1,1,0.09,0,0,0,3.8,40, $260.00 ,
YUMGUM,790011320029,JARROW,Yum-Yum D3 Gummies,1,EA,400,IU/CHEW,90,CHEWS, $6.00 , $11.95 ,,4.875,2.6,2.6,0.6,5.5,8.5,11.5,7.4,12, $72.00 ,
YUMJD,790011030218,JARROW,Yum Yum Dophilus,1,EA,1 BILLION ORGANISMS,PER 2 CAP,60,TABS, $8.00 , $15.95 ,,5.25,3.25,1.75,0.16,1.25,3.25,5.5,2.12,12, $84.00 ,
YUMJD120,790011320050,JARROW,Yum Yum Dophilus - Value Size,1,EA,1 BILLION ORGANISMS,PER 2 CAP,120,TABS, $13.00 , $25.95 ,,5.25,3.25,3.375,0.32,3.5,3.5,5.5,4.04,12, $144.00 ,
ZB,790011130086,JARROW,Zinc Balance,1,EA,15,MG,100,CAPS, $6.50 , $12.95 ,,3.23,1.84,1.84,0.15,4,6,8,2,12, $78.00 ,
ZZ,790011010081,JARROW,Jarro-Zymes Plus,1,EA,470,MG,100,CAPS, $9.00 , $17.95 ,,3.815,2.21,2.21,0.2,4.5,7.5,9.5,2.6,12, $108.00 ,
